Date,Close
2025-01-01,300.5964
2025-01-02,245.5016
2025-01-03,237.35934
2025-01-04,238.03197
2025-01-05,242.14284
2025-01-06,249.49124
2025-01-07,259.53702
2025-01-08,271.8255
2025-01-09,285.78677
2025-01-10,300.65887
2025-01-11,315.53864
2025-01-12,329.52057
2025-01-13,341.72232
2025-01-14,351.14246
2025-01-15,356.4579
2025-01-16,356.1217
2025-01-17,348.97726
2025-01-18,335.0051
2025-01-19,315.53467
2025-01-20,292.79044
2025-01-21,269.46878
2025-01-22,248.65295
2025-01-23,233.20369
2025-01-24,224.638
2025-01-25,222.6682
2025-01-26,225.83899
2025-01-27,232.4068
2025-01-28,240.79736
2025-01-29,249.75725
2025-01-30,258.3385
