Date,Close
2025-01-01,192.0427
2025-01-02,190.67162
2025-01-03,189.35524
2025-01-04,188.10788
2025-01-05,186.92926
2025-01-06,185.81929
2025-01-07,184.78368
2025-01-08,183.83447
2025-01-09,182.9882
2025-01-10,182.26279
2025-01-11,181.67532
2025-01-12,181.23994
2025-01-13,180.96678
2025-01-14,180.8615
2025-01-15,180.92505
2025-01-16,181.15425
2025-01-17,181.5418
2025-01-18,182.07721
2025-01-19,182.74712
2025-01-20,183.5357
2025-01-21,184.4255
2025-01-22,185.39746
2025-01-23,186.4315
2025-01-24,187.50693
2025-01-25,188.60269
2025-01-26,189.69798
2025-01-27,190.7723
2025-01-28,191.80617
2025-01-29,192.78143
2025-01-30,193.68163
