Date,Close
2024-12-31,431.89908
2025-01-01,429.2755
2025-01-02,427.023
2025-01-03,425.13916
2025-01-04,423.5722
2025-01-05,422.25632
2025-01-06,421.131
2025-01-07,420.14908
2025-01-08,419.27744
2025-01-09,418.49487
2025-01-10,417.78888
2025-01-11,417.15204
2025-01-12,416.58005
2025-01-13,416.06924
2025-01-14,415.61633
2025-01-15,415.21753
2025-01-16,414.86838
2025-01-17,414.56418
2025-01-18,414.3
2025-01-19,414.07068
2025-01-20,413.8714
2025-01-21,413.69742
2025-01-22,413.54425
2025-01-23,413.40814
2025-01-24,413.2853
2025-01-25,413.17252
2025-01-26,413.06717
2025-01-27,412.9667
2025-01-28,412.86917
2025-01-29,412.7729
