Date,Close
2025-01-01,244.70813
2025-01-02,241.93968
2025-01-03,240.23827
2025-01-04,239.06306
2025-01-05,238.028
2025-01-06,237.01575
2025-01-07,236.01166
2025-01-08,235.0233
2025-01-09,234.05461
2025-01-10,233.10039
2025-01-11,232.15126
2025-01-12,231.20322
2025-01-13,230.25183
2025-01-14,229.29672
2025-01-15,228.33937
2025-01-16,227.38869
2025-01-17,226.45241
2025-01-18,225.53856
2025-01-19,224.66293
2025-01-20,223.84583
2025-01-21,223.10571
2025-01-22,222.46347
2025-01-23,221.93805
2025-01-24,221.5499
2025-01-25,221.31187
2025-01-26,221.23138
2025-01-27,221.3028
2025-01-28,221.52623
2025-01-29,221.89972
2025-01-30,222.41934
