Date,Close
2025-01-01,112.91499
2025-01-02,108.447105
2025-01-03,102.819115
2025-01-04,97.47717
2025-01-05,93.07223
2025-01-06,89.73137
2025-01-07,87.31941
2025-01-08,85.62535
2025-01-09,84.43358
2025-01-10,83.56798
2025-01-11,82.88219
2025-01-12,82.27676
2025-01-13,81.67193
2025-01-14,81.02686
2025-01-15,80.318306
2025-01-16,79.5414
2025-01-17,78.717575
2025-01-18,77.85821
2025-01-19,76.998
2025-01-20,76.16574
2025-01-21,75.38165
2025-01-22,74.67231
2025-01-23,74.05128
2025-01-24,73.53401
2025-01-25,73.12021
2025-01-26,72.808105
2025-01-27,72.59176
2025-01-28,72.46486
2025-01-29,72.41763
2025-01-30,72.44485
